---
Mammal:            human
Fs:                200
Integration_level: electrocardiogram

Channels:

    - type:   electrography
0.00 0.12 0.10
-0.03 0.07 0.07
-0.04 0.08 0.08
-0.05 0.09 0.10
-0.05 0.08 0.09
-0.06 0.05 0.06
-0.06 0.04 0.05
-0.07 0.04 0.05
-0.06 0.05 0.06
-0.06 0.05 0.05
-0.06 0.05 0.06
-0.06 0.06 0.06
-0.05 0.07 0.06
-0.05 0.05 0.06
-0.07 0.04 0.06
-0.08 0.03 0.05
-0.06 0.05 0.05
-0.05 0.05 0.05
-0.05 0.05 0.05
-0.06 0.05 0.05
-0.06 0.05 0.05
-0.06 0.05 0.05
-0.06 0.06 0.06
-0.06 0.05 0.06
-0.06 0.05 0.05
-0.06 0.05 0.05
-0.07 0.05 0.05
-0.07 0.05 0.05
-0.06 0.05 0.04
-0.07 0.04 0.04
-0.07 0.04 0.04
-0.08 0.03 0.03
-0.08 0.02 0.03
-0.09 0.01 0.02
-0.09 -0.00 -0.
-0.08 -0.02 -0.
-0.08 0.03 0.03
-0.09 0.04 0.04
-0.09 0.03 0.03
-0.09 0.04 0.03
-0.10 0.02 0.02
-0.09 0.03 0.02
-0.10 0.03 0.01
-0.10 0.01 0.01
-0.11 -0.00 0.0
-0.11 -0.01 -0.
-0.11 -0.01 -0.
-0.12 -0.03 -0.
-0.12 -0.03 -0.
-0.11 0.01 0.01
-0.11 0.01 0.01
-0.10 0.01 -0.0
-0.11 -0.02 -0.
-0.10 0.00 -0.0
-0.10 0.02 0.00
-0.10 0.00 -0.0
-0.08 0.02 -0.0
-0.06 0.03 -0.0
-0.05 0.04 -0.0
-0.00 0.07 -0.0
0.02 0.10 -0.04
-0.03 0.03 -0.0
-0.06 0.01 -0.0
-0.06 0.01 -0.0
-0.07 -0.01 -0.
-0.09 0.00 -0.0
-0.10 0.00 0.00
-0.11 0.01 0.02
-0.12 -0.02 0.0
-0.13 -0.03 -0.
-0.12 -0.02 0.0
-0.12 -0.02 -0.
-0.12 -0.03 -0.
-0.12 -0.04 -0.
-0.12 -0.03 -0.
-0.11 -0.01 -0.
-0.09 0.00 -0.0
-0.09 0.01 0.00
-0.11 -0.01 -0.
-0.12 -0.02 -0.
-0.12 -0.03 -0.
-0.12 -0.03 -0.
-0.12 -0.03 -0.
-0.13 -0.03 -0.
-0.11 -0.03 -0.
-0.12 -0.02 -0.
-0.11 -0.01 -0.
-0.12 -0.02 -0.
-0.12 -0.03 -0.
-0.11 -0.02 -0.
-0.10 -0.01 -0.
-0.10 0.00 -0.0
-0.12 -0.03 -0.
-0.13 -0.04 -0.
-0.13 -0.01 0.0
-0.11 0.07 0.08
-0.09 0.18 0.19
-0.17 0.21 0.25
-0.27 0.16 0.22
-0.45 0.02 0.14
-0.60 -0.18 -0.
-0.75 -0.43 -0.
-0.83 -0.55 -0.
-0.91 -0.66 -0.
-0.85 -0.65 -0.
-0.75 -0.60 -0.
-0.68 -0.56 -0.
-0.58 -0.50 -0.
-0.48 -0.42 -0.
-0.38 -0.34 -0.
-0.33 -0.29 -0.
-0.25 -0.21 -0.
-0.18 -0.13 -0.
-0.13 -0.08 -0.
-0.12 -0.06 -0.
-0.09 -0.03 -0.
-0.07 -0.02 -0.
-0.06 -0.00 -0.
-0.05 0.01 -0.0
-0.03 0.04 -0.0
-0.04 0.02 -0.0
-0.07 -0.00 -0.
-0.08 -0.01 -0.
-0.08 -0.01 -0.
-0.05 0.01 -0.0
-0.03 0.04 -0.0
-0.01 0.06 -0.0
-0.03 0.03 -0.0
-0.05 0.01 -0.0
-0.05 0.02 -0.0
-0.05 0.02 -0.0
-0.04 0.03 0.00
-0.02 0.05 0.00
-0.01 0.05 0.00
-0.01 0.05 0.00
-0.01 0.04 0.00
-0.01 0.04 0.01
-0.00 0.06 0.01
-0.00 0.05 0.01
0.00 0.05 0.01
0.03 0.09 0.01
0.05 0.12 0.03
0.06 0.13 0.04
0.01 0.08 0.04
-0.01 0.05 0.04
0.01 0.08 0.06
0.02 0.08 0.05
0.04 0.09 0.04
0.06 0.11 0.06
0.07 0.13 0.07
0.07 0.13 0.07
0.09 0.14 0.08
0.11 0.16 0.09
0.12 0.17 0.09
0.13 0.18 0.09
0.14 0.18 0.09
0.16 0.20 0.10
0.16 0.21 0.11
0.17 0.21 0.11
0.18 0.21 0.11
0.18 0.21 0.11
0.20 0.23 0.12
0.20 0.23 0.11
0.20 0.22 0.10
0.18 0.21 0.09
0.17 0.21 0.09
0.17 0.22 0.09
0.17 0.21 0.06
0.15 0.20 0.04
0.13 0.18 0.00
0.12 0.16 -0.01
0.10 0.14 -0.02
0.07 0.12 -0.03
0.04 0.09 -0.03
0.02 0.08 -0.01
-0.00 0.06 -0.0
-0.03 0.04 -0.0
-0.05 0.02 0.00
-0.06 0.00 -0.0
-0.08 -0.01 -0.
-0.09 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.02 -0.
-0.10 -0.03 -0.
-0.11 -0.04 -0.
-0.11 -0.04 -0.
-0.11 -0.04 -0.
-0.11 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.02 -0.
-0.11 -0.03 -0.
-0.11 -0.03 -0.
-0.11 -0.03 -0.
-0.11 -0.03 -0.
-0.11 -0.03 -0.
-0.11 -0.04 -0.
-0.11 -0.04 -0.
-0.11 -0.03 -0.
-0.11 -0.03 -0.
-0.11 -0.04 -0.
-0.13 -0.05 -0.
-0.13 -0.06 -0.
-0.13 -0.06 -0.
-0.14 -0.06 -0.
-0.14 -0.05 -0.
-0.14 -0.03 0.0
-0.13 0.00 0.04
-0.11 0.11 0.15
-0.17 0.20 0.24
-0.37 0.12 0.21
-0.46 0.03 0.15
-0.65 -0.21 -0.
-0.81 -0.48 -0.
-0.91 -0.65 -0.
-0.94 -0.70 -0.
-0.91 -0.71 -0.
-0.82 -0.68 -0.
-0.69 -0.61 -0.
-0.62 -0.55 -0.
-0.47 -0.43 -0.
-0.35 -0.32 -0.
-0.27 -0.22 -0.
-0.23 -0.19 -0.
-0.18 -0.13 -0.
-0.16 -0.11 -0.
-0.15 -0.10 -0.
-0.14 -0.09 -0.
-0.13 -0.07 -0.
-0.12 -0.06 -0.
-0.12 -0.05 -0.
-0.12 -0.05 -0.
-0.12 -0.05 -0.
-0.11 -0.05 -0.
-0.11 -0.04 -0.
-0.11 -0.04 -0.
-0.11 -0.04 -0.
-0.11 -0.04 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.09 -0.02 -0.
-0.09 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.09 -0.02 -0.
-0.08 -0.02 -0.
-0.08 -0.02 -0.
-0.06 -0.00 -0.
-0.06 -0.00 -0.
-0.06 0.00 -0.0
-0.06 0.00 -0.0
-0.05 0.02 0.00
-0.04 0.03 0.01
-0.02 0.03 0.01
-0.01 0.03 0.01
-0.02 0.03 0.01
-0.00 0.05 0.04
0.02 0.08 0.06
0.03 0.09 0.06
0.04 0.10 0.07
0.05 0.11 0.07
0.07 0.11 0.08
0.08 0.12 0.08
0.09 0.13 0.09
0.11 0.14 0.10
0.12 0.16 0.11
0.12 0.16 0.11
0.13 0.18 0.12
0.15 0.20 0.14
0.15 0.21 0.15
0.15 0.21 0.16
0.13 0.19 0.15
0.10 0.17 0.14
0.07 0.14 0.12
0.05 0.12 0.11
0.02 0.09 0.09
-0.01 0.06 0.07
-0.05 0.03 0.05
-0.06 0.02 0.04
-0.08 -0.00 0.0
-0.11 -0.03 0.0
-0.14 -0.05 0.0
-0.14 -0.06 0.0
-0.16 -0.07 -0.
-0.16 -0.08 -0.
-0.16 -0.09 -0.
-0.17 -0.09 -0.
-0.18 -0.09 -0.
-0.17 -0.09 -0.
-0.18 -0.09 -0.
-0.18 -0.09 -0.
-0.17 -0.10 -0.
-0.17 -0.11 -0.
-0.18 -0.10 -0.
-0.18 -0.10 -0.
-0.18 -0.09 -0.
-0.18 -0.09 -0.
-0.18 -0.10 -0.
-0.18 -0.10 -0.
-0.18 -0.10 -0.
-0.18 -0.11 -0.
-0.18 -0.11 -0.
-0.17 -0.10 -0.
-0.18 -0.10 -0.
-0.18 -0.10 -0.
-0.18 -0.10 -0.
-0.18 -0.10 -0.
-0.19 -0.09 -0.
-0.19 -0.12 -0.
-0.19 -0.10 -0.
-0.19 -0.09 -0.
-0.20 -0.12 -0.
-0.20 -0.13 -0.
-0.20 -0.12 -0.
-0.20 -0.12 -0.
-0.20 -0.12 -0.
-0.20 -0.12 -0.
-0.20 -0.12 -0.
-0.21 -0.12 -0.
-0.20 -0.12 -0.
-0.20 -0.12 -0.
-0.21 -0.12 -0.
-0.21 -0.13 -0.
-0.21 -0.15 -0.
-0.21 -0.12 -0.
-0.22 -0.11 -0.
-0.22 -0.14 -0.
-0.21 -0.13 -0.
-0.21 -0.12 -0.
-0.21 -0.13 -0.
-0.21 -0.13 -0.
-0.22 -0.14 -0.
-0.22 -0.14 -0.
-0.22 -0.14 -0.
-0.22 -0.14 -0.
-0.22 -0.14 -0.
-0.22 -0.15 -0.
-0.23 -0.14 -0.
-0.22 -0.14 -0.
-0.22 -0.13 0.0
-0.23 -0.15 -0.
-0.23 -0.14 0.0
-0.23 -0.15 -0.
-0.24 -0.16 -0.
-0.23 -0.16 -0.
-0.22 -0.14 -0.
-0.22 -0.14 -0.
-0.23 -0.15 -0.
-0.22 -0.15 -0.
-0.22 -0.14 -0.
-0.23 -0.14 0.0
-0.23 -0.15 0.0
-0.23 -0.15 0.0
-0.23 -0.16 -0.
-0.23 -0.16 -0.
-0.23 -0.16 -0.
-0.23 -0.16 0.0
-0.24 -0.16 0.0
-0.24 -0.15 0.0
-0.23 -0.16 -0.
-0.22 -0.15 0.0
-0.23 -0.14 0.0
-0.23 -0.16 -0.
-0.24 -0.17 -0.
-0.24 -0.16 0.0
-0.22 -0.15 0.0
-0.22 -0.15 0.0
-0.24 -0.18 -0.
-0.24 -0.16 -0.
-0.23 -0.15 -0.
-0.23 -0.16 -0.
-0.23 -0.17 0.0
-0.24 -0.16 0.0
-0.24 -0.18 -0.
-0.24 -0.18 -0.
-0.22 -0.16 0.0
-0.23 -0.16 -0.
-0.22 -0.15 0.0
-0.23 -0.16 -0.
-0.24 -0.17 -0.
-0.23 -0.16 0.0
-0.23 -0.18 -0.
-0.23 -0.17 0.0
-0.23 -0.16 0.0
-0.23 -0.17 -0.
-0.23 -0.16 -0.
-0.22 -0.16 0.0
-0.22 -0.15 0.0
-0.23 -0.17 -0.
-0.23 -0.16 -0.
-0.23 -0.18 -0.
-0.22 -0.16 0.0
-0.22 -0.15 -0.
-0.21 -0.13 0.0
-0.20 -0.13 -0.
-0.18 -0.14 -0.
-0.18 -0.14 -0.
-0.17 -0.12 -0.
-0.16 -0.11 -0.
-0.14 -0.11 -0.
-0.14 -0.11 -0.
-0.15 -0.11 0.0
-0.16 -0.11 0.0
-0.19 -0.13 0.0
-0.22 -0.15 0.0
-0.22 -0.17 0.0
-0.23 -0.18 0.0
-0.24 -0.17 0.0
-0.24 -0.18 0.0
-0.24 -0.18 0.0
-0.24 -0.18 0.0
-0.24 -0.17 0.0
-0.24 -0.18 0.0
-0.24 -0.17 0.0
-0.23 -0.17 0.0
-0.22 -0.15 0.0
-0.23 -0.18 0.0
-0.24 -0.17 0.0
-0.24 -0.17 0.0
-0.24 -0.18 0.0
-0.24 -0.18 0.0
-0.24 -0.18 0.0
-0.24 -0.17 0.0
-0.24 -0.18 0.0
-0.25 -0.20 0.0
-0.24 -0.19 0.0
-0.24 -0.18 0.0
-0.24 -0.17 0.0
-0.24 -0.18 0.0
-0.25 -0.19 0.0
-0.24 -0.17 0.0
-0.23 -0.12 0.0
-0.21 -0.01 0.1
-0.21 0.16 0.38
-0.26 0.21 0.44
-0.42 0.26 0.51
-0.62 0.04 0.35
-0.80 -0.25 0.1
-0.88 -0.42 -0.
-1.03 -0.73 -0.
-1.09 -0.83 -0.
-1.02 -0.83 -0.
-0.97 -0.80 -0.
-0.86 -0.71 -0.
-0.71 -0.59 -0.
-0.55 -0.47 -0.
-0.48 -0.42 -0.
-0.38 -0.33 -0.
-0.31 -0.26 0.0
-0.26 -0.22 -0.
-0.25 -0.21 0.0
-0.22 -0.17 0.0
-0.21 -0.14 0.0
-0.19 -0.13 0.0
-0.18 -0.12 0.0
-0.18 -0.12 0.0
-0.18 -0.13 0.0
-0.19 -0.15 0.0
-0.18 -0.14 0.0
-0.17 -0.11 0.0
-0.15 -0.09 0.0
-0.15 -0.11 0.0
-0.15 -0.11 0.0
-0.15 -0.09 0.0
-0.15 -0.10 0.0
-0.16 -0.10 0.0
-0.15 -0.09 0.0
-0.14 -0.08 0.0
-0.14 -0.09 0.0
-0.14 -0.07 0.0
-0.14 -0.09 0.0
-0.14 -0.07 0.1
-0.13 -0.09 0.0
-0.13 -0.06 0.1
-0.13 -0.06 0.1
-0.12 -0.07 0.1
-0.12 -0.06 0.1
-0.11 -0.04 0.1
-0.10 -0.05 0.1
-0.10 -0.04 0.1
-0.09 -0.04 0.1
-0.08 -0.03 0.1
-0.08 -0.02 0.1
-0.07 -0.01 0.1
-0.06 -0.02 0.1
-0.05 0.01 0.18
-0.04 0.01 0.17
-0.03 0.02 0.17
-0.01 0.04 0.21
0.00 0.04 0.20
0.01 0.05 0.21
0.03 0.06 0.22
0.05 0.07 0.21
0.06 0.08 0.21
0.06 0.07 0.22
0.06 0.10 0.24
0.08 0.11 0.25
0.09 0.09 0.23
0.09 0.10 0.24
0.10 0.12 0.26
0.11 0.13 0.26
0.12 0.14 0.25
0.09 0.13 0.26
0.05 0.10 0.25
0.04 0.09 0.23
0.01 0.07 0.22
-0.01 0.05 0.21
-0.04 0.04 0.20
-0.06 0.02 0.21
-0.09 -0.00 0.1
-0.09 -0.01 0.1
-0.12 -0.03 0.1
-0.13 -0.05 0.1
-0.15 -0.06 0.1
-0.15 -0.06 0.1
-0.16 -0.05 0.1
-0.16 -0.08 0.1
-0.17 -0.08 0.1
-0.16 -0.06 0.1
-0.17 -0.08 0.1
-0.18 -0.10 0.0
-0.18 -0.08 0.1
-0.17 -0.08 0.1
-0.17 -0.08 0.1
-0.17 -0.08 0.1
-0.16 -0.07 0.1
-0.16 -0.07 0.1
-0.17 -0.08 0.1
-0.16 -0.06 0.1
-0.15 -0.05 0.1
-0.15 -0.04 0.1
-0.15 -0.04 0.1
-0.16 -0.04 0.1
-0.15 -0.05 0.1
-0.15 -0.04 0.1
-0.15 -0.04 0.1
-0.14 -0.04 0.1
-0.16 -0.06 0.1
-0.16 -0.05 0.1
-0.15 -0.05 0.1
-0.16 -0.05 0.1
-0.16 -0.06 0.1
-0.16 -0.05 0.1
-0.15 -0.05 0.1
-0.15 -0.06 0.1
-0.16 -0.07 0.1
-0.16 -0.06 0.1
-0.16 -0.05 0.1
-0.17 -0.06 0.1
-0.16 -0.06 0.1
-0.16 -0.06 0.1
-0.16 -0.06 0.1
-0.16 -0.07 0.1
-0.17 -0.07 0.0
-0.17 -0.07 0.1
-0.16 -0.07 0.1
-0.16 -0.08 0.0
-0.17 -0.09 0.0
-0.17 -0.08 0.1
-0.18 -0.07 0.1
-0.18 -0.09 0.0
-0.17 -0.08 0.0
-0.17 -0.08 0.0
-0.16 -0.07 0.0
-0.14 -0.06 0.0
-0.12 -0.05 0.0
-0.12 -0.04 0.0
-0.11 -0.04 0.0
-0.10 -0.03 0.0
-0.09 -0.03 0.0
-0.10 -0.02 0.0
-0.12 -0.02 0.1
-0.14 -0.06 0.1
-0.17 -0.07 0.1
-0.18 -0.08 0.0
-0.19 -0.08 0.1
-0.20 -0.09 0.0
-0.20 -0.09 0.0
-0.20 -0.10 0.0
-0.20 -0.10 0.0
-0.20 -0.09 0.0
-0.20 -0.09 0.0
-0.19 -0.09 0.0
-0.19 -0.08 0.0
-0.19 -0.09 0.0
-0.20 -0.09 0.0
-0.20 -0.09 0.0
-0.21 -0.10 0.0
-0.21 -0.11 0.0
-0.20 -0.10 0.0
-0.20 -0.10 0.0
-0.21 -0.10 0.0
-0.21 -0.11 0.0
-0.21 -0.10 0.0
-0.21 -0.10 0.0
-0.21 -0.10 0.0
-0.21 -0.10 0.0
-0.21 -0.10 0.0
-0.21 -0.10 0.0
-0.21 -0.10 0.0
-0.21 -0.10 0.0
-0.21 -0.07 0.0
-0.21 -0.02 0.1
-0.19 0.11 0.27
-0.19 0.23 0.41
-0.36 0.29 0.46
-0.46 0.20 0.42
-0.65 0.02 0.29
-0.83 -0.32 0.0
-0.98 -0.64 -0.
-1.03 -0.70 -0.
-1.06 -0.77 -0.
-0.99 -0.78 -0.
-0.88 -0.70 -0.
-0.81 -0.64 -0.
-0.64 -0.51 -0.
-0.48 -0.37 -0.
-0.37 -0.27 -0.
-0.33 -0.24 -0.
-0.27 -0.18 0.0
-0.21 -0.14 0.0
-0.18 -0.10 0.0
-0.17 -0.09 0.0
-0.17 -0.07 0.0
-0.16 -0.06 0.0
-0.15 -0.05 0.0
-0.14 -0.04 0.0
-0.14 -0.04 0.0
-0.14 -0.04 0.0
-0.14 -0.03 0.0
-0.13 -0.03 0.0
-0.13 -0.02 0.0
-0.12 -0.02 0.0
-0.12 -0.01 0.0
-0.12 -0.01 0.0
-0.12 -0.01 0.0
-0.11 -0.01 0.0
-0.11 0.00 0.07
-0.11 0.00 0.07
-0.11 0.00 0.07
-0.10 0.00 0.08
-0.10 0.01 0.08
-0.10 0.01 0.08
-0.09 0.02 0.08
-0.09 0.02 0.08
-0.08 0.03 0.09
-0.07 0.04 0.09
-0.06 0.04 0.10
-0.06 0.05 0.10
-0.05 0.06 0.10
-0.05 0.06 0.11
-0.04 0.07 0.11
-0.02 0.08 0.11
-0.01 0.09 0.11
-0.01 0.09 0.12
0.00 0.11 0.13
0.03 0.13 0.13
0.06 0.14 0.13
0.07 0.15 0.13
0.09 0.18 0.15
0.11 0.20 0.15
0.14 0.21 0.14
0.16 0.22 0.13
0.18 0.23 0.12
0.20 0.25 0.12
0.21 0.26 0.12
0.21 0.26 0.11
0.20 0.25 0.10
0.18 0.24 0.12
0.17 0.23 0.15
0.16 0.22 0.16
0.14 0.21 0.18
0.11 0.19 0.17
0.07 0.16 0.16
0.05 0.15 0.16
0.01 0.12 0.15
-0.01 0.10 0.14
-0.04 0.07 0.11
-0.06 0.05 0.10
-0.09 0.03 0.07
-0.12 0.01 0.06
-0.13 -0.00 0.0
-0.14 -0.01 0.0
-0.15 -0.02 0.0
-0.16 -0.03 0.0
-0.17 -0.04 0.0
-0.17 -0.05 0.0
-0.18 -0.05 0.0
-0.18 -0.05 0.0
-0.18 -0.05 0.0
-0.18 -0.05 0.0
-0.18 -0.05 0.0
-0.18 -0.04 0.0
-0.18 -0.04 0.0
-0.18 -0.05 0.0
-0.18 -0.05 0.0
-0.18 -0.04 0.0
-0.17 -0.04 0.0
-0.17 -0.03 0.0
-0.17 -0.03 0.0
-0.17 -0.03 0.0
-0.17 -0.03 0.0
-0.17 -0.03 0.0
-0.16 -0.03 0.0
-0.16 -0.02 0.0
-0.16 0.02 0.07
-0.16 0.07 0.12
-0.20 0.19 0.23
-0.35 0.24 0.29
-0.60 0.09 0.23
-0.73 0.00 0.17
-0.95 -0.31 -0.
-1.15 -0.66 -0.
-1.18 -0.77 -0.
-1.12 -0.76 -0.
-0.96 -0.70 -0.
-0.79 -0.61 -0.
-0.62 -0.50 -0.
-0.55 -0.44 -0.
-0.41 -0.32 -0.
-0.30 -0.21 -0.
-0.22 -0.14 -0.
-0.20 -0.11 -0.
-0.14 -0.07 -0.
-0.12 -0.04 -0.
-0.11 -0.03 -0.
-0.11 -0.03 -0.
-0.10 -0.01 -0.
-0.09 -0.00 -0.
-0.09 -0.00 -0.
-0.09 -0.00 -0.
-0.09 -0.00 -0.
-0.08 0.00 -0.0
-0.08 0.00 -0.0
-0.08 0.01 -0.0
-0.07 0.01 -0.0
-0.07 0.01 -0.0
-0.07 0.01 -0.0
-0.06 0.01 -0.0
-0.06 0.02 -0.0
-0.06 0.03 -0.0
-0.05 0.03 -0.0
-0.05 0.03 -0.0
-0.04 0.03 -0.0
-0.04 0.04 -0.0
-0.03 0.03 -0.0
-0.03 0.04 -0.0
-0.02 0.05 -0.0
-0.01 0.06 -0.0
0.00 0.07 -0.01
0.00 0.07 -0.01
0.01 0.07 -0.01
0.03 0.08 -0.01
0.04 0.10 0.00
0.05 0.10 0.00
0.06 0.10 0.00
0.07 0.11 0.00
0.09 0.13 0.01
0.10 0.14 0.02
0.12 0.15 0.03
0.13 0.16 0.03
0.14 0.16 0.03
0.15 0.17 0.03
0.17 0.19 0.04
0.18 0.20 0.05
0.19 0.21 0.05
0.20 0.21 0.05
0.21 0.22 0.06
0.21 0.23 0.07
0.21 0.23 0.07
0.20 0.23 0.07
0.18 0.22 0.07
0.15 0.20 0.06
0.12 0.18 0.04
0.10 0.17 0.04
0.07 0.15 0.02
0.04 0.12 0.00
0.01 0.09 -0.02
0.00 0.07 -0.02
-0.02 0.05 -0.0
-0.04 0.03 -0.0
-0.06 0.01 -0.0
-0.07 0.01 -0.0
-0.08 0.00 -0.0
-0.07 0.00 -0.0
-0.07 0.01 -0.0
-0.07 0.00 -0.0
-0.08 0.00 -0.0
-0.07 0.00 -0.0
-0.06 0.01 -0.0
-0.07 0.01 -0.0
-0.08 -0.01 -0.
-0.08 -0.01 -0.
-0.08 -0.00 -0.
-0.07 -0.00 -0.
-0.07 0.00 -0.0
-0.09 -0.01 -0.
-0.09 -0.01 -0.
-0.07 0.00 -0.0
-0.06 0.01 -0.0
-0.06 0.00 -0.0
-0.07 0.00 -0.0
-0.07 -0.00 -0.
-0.07 -0.01 -0.
-0.06 0.00 -0.0
-0.08 -0.01 -0.
